Asset,Filter,N Pass,N Fail,Pass OOS%,Fail OOS%,Lift (pp)
BTC,MC-ROI p50,326432,546040,30.6,32.8,-1.37
BTC,MC-ROI p75,149593,722879,30.5,32.3,-1.48
BTC,MC-ROI p90,57315,815157,30.9,32.0,-1.06
BTC,MC-Sharpe p50,319367,553105,30.7,32.7,-1.29
BTC,MC-Sharpe p75,144973,727499,30.4,32.3,-1.58
BTC,MC-PF p50,279936,592536,29.8,33.0,-2.13
BTC,MC-PF p75,118854,753618,29.5,32.3,-2.5
DOGE,MC-ROI p50,252864,420031,34.8,36.7,-1.19
DOGE,MC-ROI p75,115617,557278,34.6,36.3,-1.38
DOGE,MC-ROI p90,44462,628433,34.7,36.1,-1.33
DOGE,MC-Sharpe p50,247258,425637,34.8,36.7,-1.16
DOGE,MC-Sharpe p75,112130,560765,34.6,36.3,-1.43
DOGE,MC-PF p50,217775,455120,34.3,36.8,-1.71
DOGE,MC-PF p75,92309,580586,34.0,36.3,-2.03
BNB,MC-ROI p50,369663,626145,27.6,29.9,-1.43
BNB,MC-ROI p75,168130,827678,27.4,29.4,-1.66
BNB,MC-ROI p90,63722,932086,27.1,29.2,-1.95
BNB,MC-Sharpe p50,359889,635919,27.6,29.9,-1.45
BNB,MC-Sharpe p75,162397,833411,27.4,29.4,-1.71
BNB,MC-PF p50,317147,678661,26.7,30.2,-2.4
BNB,MC-PF p75,135165,860643,26.1,29.5,-2.94
SOL,MC-ROI p50,85032,147528,38.0,40.0,-1.24
SOL,MC-ROI p75,39475,193085,37.6,39.6,-1.65
SOL,MC-ROI p90,15125,217435,37.6,39.4,-1.69
SOL,MC-Sharpe p50,84061,148499,38.0,39.9,-1.24
SOL,MC-Sharpe p75,38414,194146,37.5,39.6,-1.71
SOL,MC-PF p50,73554,159006,37.4,40.1,-1.88
SOL,MC-PF p75,31277,201283,36.5,39.7,-2.72
